pin,slack
ccu25_strobe_out_2_ibuf/U0/U_IOINFF:Y,
DACController_0/cache1[12]:ADn,
DACController_0/cache1[12]:ALn,
DACController_0/cache1[12]:CLK,-3657
DACController_0/cache1[12]:D,1742
DACController_0/cache1[12]:EN,-5705
DACController_0/cache1[12]:LAT,
DACController_0/cache1[12]:Q,-3657
DACController_0/cache1[12]:SD,
DACController_0/cache1[12]:SLn,
ControlDecoder_1/counter_2_sqmuxa_3:A,
ControlDecoder_1/counter_2_sqmuxa_3:B,
ControlDecoder_1/counter_2_sqmuxa_3:C,
ControlDecoder_1/counter_2_sqmuxa_3:D,
ControlDecoder_1/counter_2_sqmuxa_3:Y,
rst_ibuf_RNIUUM5:A,
rst_ibuf_RNIUUM5:Y,
ControlDecoder_1/threshold_buffer[2]:ADn,
ControlDecoder_1/threshold_buffer[2]:ALn,
ControlDecoder_1/threshold_buffer[2]:CLK,1742
ControlDecoder_1/threshold_buffer[2]:D,
ControlDecoder_1/threshold_buffer[2]:EN,-4122
ControlDecoder_1/threshold_buffer[2]:LAT,
ControlDecoder_1/threshold_buffer[2]:Q,1742
ControlDecoder_1/threshold_buffer[2]:SD,
ControlDecoder_1/threshold_buffer[2]:SLn,-849
ControlDecoder_3/ccu25_data_temp[5]:ADn,
ControlDecoder_3/ccu25_data_temp[5]:ALn,
ControlDecoder_3/ccu25_data_temp[5]:CLK,
ControlDecoder_3/ccu25_data_temp[5]:D,749
ControlDecoder_3/ccu25_data_temp[5]:EN,-4151
ControlDecoder_3/ccu25_data_temp[5]:LAT,
ControlDecoder_3/ccu25_data_temp[5]:Q,
ControlDecoder_3/ccu25_data_temp[5]:SD,
ControlDecoder_3/ccu25_data_temp[5]:SLn,
ControlDecoder_0/counter_2_0_a2_RNI4A2A2[4]:A,-6555
ControlDecoder_0/counter_2_0_a2_RNI4A2A2[4]:B,-5309
ControlDecoder_0/counter_2_0_a2_RNI4A2A2[4]:Y,-6555
JTAG_2/loop_counter_r[2]:A,656
JTAG_2/loop_counter_r[2]:B,
JTAG_2/loop_counter_r[2]:C,-3115
JTAG_2/loop_counter_r[2]:D,-1784
JTAG_2/loop_counter_r[2]:Y,-3115
ControlDecoder_0/counter_m2_0_a2_1:A,
ControlDecoder_0/counter_m2_0_a2_1:B,
ControlDecoder_0/counter_m2_0_a2_1:C,
ControlDecoder_0/counter_m2_0_a2_1:D,
ControlDecoder_0/counter_m2_0_a2_1:Y,
ccu25_data_0_iobuf[6]/U0/U_IOPAD:D,
ccu25_data_0_iobuf[6]/U0/U_IOPAD:E,
ccu25_data_0_iobuf[6]/U0/U_IOPAD:PAD,
ccu25_data_0_iobuf[6]/U0/U_IOPAD:Y,
ControlDecoder_2/instruction_RNIJR0K[4]:A,-4012
ControlDecoder_2/instruction_RNIJR0K[4]:B,-4056
ControlDecoder_2/instruction_RNIJR0K[4]:C,-4156
ControlDecoder_2/instruction_RNIJR0K[4]:D,-4195
ControlDecoder_2/instruction_RNIJR0K[4]:Y,-4195
ControlDecoder_2/ccu25_data_temp[6]:ADn,
ControlDecoder_2/ccu25_data_temp[6]:ALn,
ControlDecoder_2/ccu25_data_temp[6]:CLK,
ControlDecoder_2/ccu25_data_temp[6]:D,749
ControlDecoder_2/ccu25_data_temp[6]:EN,-5342
ControlDecoder_2/ccu25_data_temp[6]:LAT,
ControlDecoder_2/ccu25_data_temp[6]:Q,
ControlDecoder_2/ccu25_data_temp[6]:SD,
ControlDecoder_2/ccu25_data_temp[6]:SLn,
JTAG_2/TAP_state[1]:ADn,
JTAG_2/TAP_state[1]:ALn,
JTAG_2/TAP_state[1]:CLK,-2959
JTAG_2/TAP_state[1]:D,-649
JTAG_2/TAP_state[1]:EN,
JTAG_2/TAP_state[1]:LAT,
JTAG_2/TAP_state[1]:Q,-2959
JTAG_2/TAP_state[1]:SD,
JTAG_2/TAP_state[1]:SLn,
ControlDecoder_0/counter_19_i_a2[6]:A,-471
ControlDecoder_0/counter_19_i_a2[6]:B,-5112
ControlDecoder_0/counter_19_i_a2[6]:C,-6534
ControlDecoder_0/counter_19_i_a2[6]:Y,-6534
ccu25_strobe_in_0_obuf/U0/U_IOPAD:D,
ccu25_strobe_in_0_obuf/U0/U_IOPAD:E,
ccu25_strobe_in_0_obuf/U0/U_IOPAD:PAD,
JTAG_2/un1_data_sent_to_hptdc_5_1:A,-1606
JTAG_2/un1_data_sent_to_hptdc_5_1:B,-1704
JTAG_2/un1_data_sent_to_hptdc_5_1:C,-3096
JTAG_2/un1_data_sent_to_hptdc_5_1:D,-3115
JTAG_2/un1_data_sent_to_hptdc_5_1:Y,-3115
ControlDecoder_2/run_number_1_sqmuxa_0_a2_4_o2:A,-2815
ControlDecoder_2/run_number_1_sqmuxa_0_a2_4_o2:B,-5158
ControlDecoder_2/run_number_1_sqmuxa_0_a2_4_o2:C,
ControlDecoder_2/run_number_1_sqmuxa_0_a2_4_o2:Y,-5158
ControlDecoder_2/instruction[1]:ADn,
ControlDecoder_2/instruction[1]:ALn,
ControlDecoder_2/instruction[1]:CLK,-5312
ControlDecoder_2/instruction[1]:D,-3050
ControlDecoder_2/instruction[1]:EN,-3008
ControlDecoder_2/instruction[1]:LAT,
ControlDecoder_2/instruction[1]:Q,-5312
ControlDecoder_2/instruction[1]:SD,
ControlDecoder_2/instruction[1]:SLn,
hptdc_serial_in_2_obuft/U0/U_IOOUTFF:A,
hptdc_serial_in_2_obuft/U0/U_IOOUTFF:Y,
ControlDecoder_2/data_to_hptdc[0]:ADn,
ControlDecoder_2/data_to_hptdc[0]:ALn,
ControlDecoder_2/data_to_hptdc[0]:CLK,153
ControlDecoder_2/data_to_hptdc[0]:D,
ControlDecoder_2/data_to_hptdc[0]:EN,-5103
ControlDecoder_2/data_to_hptdc[0]:LAT,
ControlDecoder_2/data_to_hptdc[0]:Q,153
ControlDecoder_2/data_to_hptdc[0]:SD,
ControlDecoder_2/data_to_hptdc[0]:SLn,-643
ControlDecoder_2/ccu25_data_temp[1]:ADn,
ControlDecoder_2/ccu25_data_temp[1]:ALn,
ControlDecoder_2/ccu25_data_temp[1]:CLK,
ControlDecoder_2/ccu25_data_temp[1]:D,600
ControlDecoder_2/ccu25_data_temp[1]:EN,-5342
ControlDecoder_2/ccu25_data_temp[1]:LAT,
ControlDecoder_2/ccu25_data_temp[1]:Q,
ControlDecoder_2/ccu25_data_temp[1]:SD,
ControlDecoder_2/ccu25_data_temp[1]:SLn,
JTAG_3/data_from_hptdc_1_RNO[0]:A,-2775
JTAG_3/data_from_hptdc_1_RNO[0]:B,-547
JTAG_3/data_from_hptdc_1_RNO[0]:Y,-2775
JTAG_0/tdo_pad_o:ADn,
JTAG_0/tdo_pad_o:ALn,
JTAG_0/tdo_pad_o:CLK,473
JTAG_0/tdo_pad_o:D,-3070
JTAG_0/tdo_pad_o:EN,
JTAG_0/tdo_pad_o:LAT,
JTAG_0/tdo_pad_o:Q,473
JTAG_0/tdo_pad_o:SD,
JTAG_0/tdo_pad_o:SLn,
DACController_0/sclock_counter_cry[17]:A,
DACController_0/sclock_counter_cry[17]:B,477
DACController_0/sclock_counter_cry[17]:C,
DACController_0/sclock_counter_cry[17]:CC,-527
DACController_0/sclock_counter_cry[17]:D,
DACController_0/sclock_counter_cry[17]:P,
DACController_0/sclock_counter_cry[17]:S,-527
DACController_0/sclock_counter_cry[17]:UB,
ControlDecoder_1/lathed_data_from_hptdc_12_1003_i_i_a3:A,648
ControlDecoder_1/lathed_data_from_hptdc_12_1003_i_i_a3:B,643
ControlDecoder_1/lathed_data_from_hptdc_12_1003_i_i_a3:C,-2047
ControlDecoder_1/lathed_data_from_hptdc_12_1003_i_i_a3:D,465
ControlDecoder_1/lathed_data_from_hptdc_12_1003_i_i_a3:Y,-2047
poh_data_3_obuf/U0/U_IOENFF:A,
poh_data_3_obuf/U0/U_IOENFF:Y,
JTAG_2/data_to_1_sqmuxa_i_i_a2_0_a3:A,-1061
JTAG_2/data_to_1_sqmuxa_i_i_a2_0_a3:B,
JTAG_2/data_to_1_sqmuxa_i_i_a2_0_a3:C,384
JTAG_2/data_to_1_sqmuxa_i_i_a2_0_a3:Y,-1061
ccu25_data_2_iobuf[7]/U0/U_IOENFF:A,
ccu25_data_2_iobuf[7]/U0/U_IOENFF:Y,
ccu25_data_0_iobuf[7]/U0/U_IOOUTFF:A,
ccu25_data_0_iobuf[7]/U0/U_IOOUTFF:Y,
ControlDecoder_1/run_number_buffer[4]:ADn,
ControlDecoder_1/run_number_buffer[4]:ALn,
ControlDecoder_1/run_number_buffer[4]:CLK,1750
ControlDecoder_1/run_number_buffer[4]:D,
ControlDecoder_1/run_number_buffer[4]:EN,-3978
ControlDecoder_1/run_number_buffer[4]:LAT,
ControlDecoder_1/run_number_buffer[4]:Q,1750
ControlDecoder_1/run_number_buffer[4]:SD,
ControlDecoder_1/run_number_buffer[4]:SLn,-849
DACController_1/temp[9]:ADn,
DACController_1/temp[9]:ALn,
DACController_1/temp[9]:CLK,600
DACController_1/temp[9]:D,-1616
DACController_1/temp[9]:EN,-4579
DACController_1/temp[9]:LAT,
DACController_1/temp[9]:Q,600
DACController_1/temp[9]:SD,
DACController_1/temp[9]:SLn,
hptdc_trstn_0_obuf/U0/U_IOENFF:A,
hptdc_trstn_0_obuf/U0/U_IOENFF:Y,
DACController_0/temp_14[11]:A,495
DACController_0/temp_14[11]:B,-1573
DACController_0/temp_14[11]:C,600
DACController_0/temp_14[11]:Y,-1573
DACController_0/temp_7_cry_3:A,
DACController_0/temp_7_cry_3:B,-1330
DACController_0/temp_7_cry_3:C,-1472
DACController_0/temp_7_cry_3:CC,-1037
DACController_0/temp_7_cry_3:D,
DACController_0/temp_7_cry_3:P,-1472
DACController_0/temp_7_cry_3:S,-1037
DACController_0/temp_7_cry_3:UB,
ControlDecoder_0/lathed_data_from_hptdc[0]:ADn,
ControlDecoder_0/lathed_data_from_hptdc[0]:ALn,
ControlDecoder_0/lathed_data_from_hptdc[0]:CLK,592
ControlDecoder_0/lathed_data_from_hptdc[0]:D,-1828
ControlDecoder_0/lathed_data_from_hptdc[0]:EN,-3993
ControlDecoder_0/lathed_data_from_hptdc[0]:LAT,
ControlDecoder_0/lathed_data_from_hptdc[0]:Q,592
ControlDecoder_0/lathed_data_from_hptdc[0]:SD,
ControlDecoder_0/lathed_data_from_hptdc[0]:SLn,
ControlDecoder_1/data_to_hptdc[1]:ADn,
ControlDecoder_1/data_to_hptdc[1]:ALn,
ControlDecoder_1/data_to_hptdc[1]:CLK,161
ControlDecoder_1/data_to_hptdc[1]:D,
ControlDecoder_1/data_to_hptdc[1]:EN,-4076
ControlDecoder_1/data_to_hptdc[1]:LAT,
ControlDecoder_1/data_to_hptdc[1]:Q,161
ControlDecoder_1/data_to_hptdc[1]:SD,
ControlDecoder_1/data_to_hptdc[1]:SLn,-849
hptdc_token_bypass_in_2_obuft/U0/U_IOENFF:A,
hptdc_token_bypass_in_2_obuft/U0/U_IOENFF:Y,
ControlDecoder_2/run_number_buffer[2]:ADn,
ControlDecoder_2/run_number_buffer[2]:ALn,
ControlDecoder_2/run_number_buffer[2]:CLK,1750
ControlDecoder_2/run_number_buffer[2]:D,
ControlDecoder_2/run_number_buffer[2]:EN,-4042
ControlDecoder_2/run_number_buffer[2]:LAT,
ControlDecoder_2/run_number_buffer[2]:Q,1750
ControlDecoder_2/run_number_buffer[2]:SD,
ControlDecoder_2/run_number_buffer[2]:SLn,-643
ControlDecoder_0/counter_19_i_a2_5_0[0]:A,
ControlDecoder_0/counter_19_i_a2_5_0[0]:B,
ControlDecoder_0/counter_19_i_a2_5_0[0]:C,
ControlDecoder_0/counter_19_i_a2_5_0[0]:Y,
JTAG_3/tdo_pad_o_2_7_i_m2_i_m2_am_1_1:A,-2555
JTAG_3/tdo_pad_o_2_7_i_m2_i_m2_am_1_1:B,-2611
JTAG_3/tdo_pad_o_2_7_i_m2_i_m2_am_1_1:C,-2786
JTAG_3/tdo_pad_o_2_7_i_m2_i_m2_am_1_1:D,-2939
JTAG_3/tdo_pad_o_2_7_i_m2_i_m2_am_1_1:Y,-2939
ccu25_data_3_iobuf[4]/U0/U_IOINFF:A,
ccu25_data_3_iobuf[4]/U0/U_IOINFF:Y,
ControlDecoder_3/instruction_RNO[6]:A,
ControlDecoder_3/instruction_RNO[6]:B,
ControlDecoder_3/instruction_RNO[6]:C,-2024
ControlDecoder_3/instruction_RNO[6]:D,-1766
ControlDecoder_3/instruction_RNO[6]:Y,-2024
hptdc_token_bypass_in_0_obuft/U0/U_IOENFF:A,
hptdc_token_bypass_in_0_obuft/U0/U_IOENFF:Y,
JTAG_2/next_TAP_state_RNO[2]:A,718
JTAG_2/next_TAP_state_RNO[2]:B,
JTAG_2/next_TAP_state_RNO[2]:C,584
JTAG_2/next_TAP_state_RNO[2]:Y,584
DACController_1/un3_sclockv_0_I_33:A,-3599
DACController_1/un3_sclockv_0_I_33:B,-3709
DACController_1/un3_sclockv_0_I_33:C,-3758
DACController_1/un3_sclockv_0_I_33:CC,
DACController_1/un3_sclockv_0_I_33:D,-4087
DACController_1/un3_sclockv_0_I_33:P,-3927
DACController_1/un3_sclockv_0_I_33:UB,-4087
DACController_1/un2_sclock_counterlto9:A,-5440
DACController_1/un2_sclock_counterlto9:B,-5490
DACController_1/un2_sclock_counterlto9:C,-5587
DACController_1/un2_sclock_counterlto9:D,-5705
DACController_1/un2_sclock_counterlto9:Y,-5705
JTAG_1/data_from_hptdc_1[1]:ADn,
JTAG_1/data_from_hptdc_1[1]:ALn,
JTAG_1/data_from_hptdc_1[1]:CLK,-885
JTAG_1/data_from_hptdc_1[1]:D,
JTAG_1/data_from_hptdc_1[1]:EN,-3071
JTAG_1/data_from_hptdc_1[1]:LAT,
JTAG_1/data_from_hptdc_1[1]:Q,-885
JTAG_1/data_from_hptdc_1[1]:SD,
JTAG_1/data_from_hptdc_1[1]:SLn,598
ControlDecoder_2/lathed_data_from_hptdc[1]:ADn,
ControlDecoder_2/lathed_data_from_hptdc[1]:ALn,
ControlDecoder_2/lathed_data_from_hptdc[1]:CLK,600
ControlDecoder_2/lathed_data_from_hptdc[1]:D,-1835
ControlDecoder_2/lathed_data_from_hptdc[1]:EN,-4978
ControlDecoder_2/lathed_data_from_hptdc[1]:LAT,
ControlDecoder_2/lathed_data_from_hptdc[1]:Q,600
ControlDecoder_2/lathed_data_from_hptdc[1]:SD,
ControlDecoder_2/lathed_data_from_hptdc[1]:SLn,
ControlDecoder_0/counter_19_i_o2_2_0_sx[0]:A,-4325
ControlDecoder_0/counter_19_i_o2_2_0_sx[0]:B,-5440
ControlDecoder_0/counter_19_i_o2_2_0_sx[0]:C,-5567
ControlDecoder_0/counter_19_i_o2_2_0_sx[0]:D,-5848
ControlDecoder_0/counter_19_i_o2_2_0_sx[0]:Y,-5848
ControlDecoder_0/counter_19_i_2[2]:A,-3900
ControlDecoder_0/counter_19_i_2[2]:B,
ControlDecoder_0/counter_19_i_2[2]:C,-3929
ControlDecoder_0/counter_19_i_2[2]:Y,-3929
JTAG_1/next_TAP_state_nss_i_0_a2[0]:A,-3024
JTAG_1/next_TAP_state_nss_i_0_a2[0]:B,-3088
JTAG_1/next_TAP_state_nss_i_0_a2[0]:C,-3065
JTAG_1/next_TAP_state_nss_i_0_a2[0]:D,-3255
JTAG_1/next_TAP_state_nss_i_0_a2[0]:Y,-3255
ControlDecoder_1/counter_19_ns_1[0]:A,-2830
ControlDecoder_1/counter_19_ns_1[0]:B,-3847
ControlDecoder_1/counter_19_ns_1[0]:C,-4286
ControlDecoder_1/counter_19_ns_1[0]:D,-5510
ControlDecoder_1/counter_19_ns_1[0]:Y,-5510
ControlDecoder_1/counter59_0:A,
ControlDecoder_1/counter59_0:B,
ControlDecoder_1/counter59_0:C,
ControlDecoder_1/counter59_0:D,
ControlDecoder_1/counter59_0:Y,
DACController_0/temp[12]:ADn,
DACController_0/temp[12]:ALn,
DACController_0/temp[12]:CLK,600
DACController_0/temp[12]:D,-1672
DACController_0/temp[12]:EN,-4579
DACController_0/temp[12]:LAT,
DACController_0/temp[12]:Q,600
DACController_0/temp[12]:SD,
DACController_0/temp[12]:SLn,
ControlDecoder_3/counter_19_1_0_RNO[3]:A,-3789
ControlDecoder_3/counter_19_1_0_RNO[3]:B,
ControlDecoder_3/counter_19_1_0_RNO[3]:Y,-3789
ControlDecoder_0/ccu25_data_temp[6]:ADn,
ControlDecoder_0/ccu25_data_temp[6]:ALn,
ControlDecoder_0/ccu25_data_temp[6]:CLK,
ControlDecoder_0/ccu25_data_temp[6]:D,749
ControlDecoder_0/ccu25_data_temp[6]:EN,-3979
ControlDecoder_0/ccu25_data_temp[6]:LAT,
ControlDecoder_0/ccu25_data_temp[6]:Q,
ControlDecoder_0/ccu25_data_temp[6]:SD,
ControlDecoder_0/ccu25_data_temp[6]:SLn,
ControlDecoder_1/instruction_RNO[4]:A,
ControlDecoder_1/instruction_RNO[4]:B,
ControlDecoder_1/instruction_RNO[4]:C,-1710
ControlDecoder_1/instruction_RNO[4]:D,-2138
ControlDecoder_1/instruction_RNO[4]:Y,-2138
ControlDecoder_0/data_to_hptdc[1]:ADn,
ControlDecoder_0/data_to_hptdc[1]:ALn,
ControlDecoder_0/data_to_hptdc[1]:CLK,161
ControlDecoder_0/data_to_hptdc[1]:D,
ControlDecoder_0/data_to_hptdc[1]:EN,-4931
ControlDecoder_0/data_to_hptdc[1]:LAT,
ControlDecoder_0/data_to_hptdc[1]:Q,161
ControlDecoder_0/data_to_hptdc[1]:SD,
ControlDecoder_0/data_to_hptdc[1]:SLn,-734
ControlDecoder_3/lathed_data_from_hptdc24:A,-4410
ControlDecoder_3/lathed_data_from_hptdc24:B,-2976
ControlDecoder_3/lathed_data_from_hptdc24:Y,-4410
JTAG_2/loop_counter_r_RNO[2]:A,-635
JTAG_2/loop_counter_r_RNO[2]:B,-1784
JTAG_2/loop_counter_r_RNO[2]:C,-774
JTAG_2/loop_counter_r_RNO[2]:Y,-1784
ControlDecoder_2/counter[4]:ADn,
ControlDecoder_2/counter[4]:ALn,
ControlDecoder_2/counter[4]:CLK,-6478
ControlDecoder_2/counter[4]:D,-6370
ControlDecoder_2/counter[4]:EN,
ControlDecoder_2/counter[4]:LAT,
ControlDecoder_2/counter[4]:Q,-6478
ControlDecoder_2/counter[4]:SD,
ControlDecoder_2/counter[4]:SLn,
ControlDecoder_1/counter_cnst_i_i_a3_1_sx[4]:A,
ControlDecoder_1/counter_cnst_i_i_a3_1_sx[4]:B,
ControlDecoder_1/counter_cnst_i_i_a3_1_sx[4]:Y,
ControlDecoder_2/latched_data_received_from_hptdc_1_i_0_a3_1:A,-2958
ControlDecoder_2/latched_data_received_from_hptdc_1_i_0_a3_1:B,-2705
ControlDecoder_2/latched_data_received_from_hptdc_1_i_0_a3_1:C,-4292
ControlDecoder_2/latched_data_received_from_hptdc_1_i_0_a3_1:D,-4133
ControlDecoder_2/latched_data_received_from_hptdc_1_i_0_a3_1:Y,-4292
ControlDecoder_0/counter_19_i_o2[4]:A,
ControlDecoder_0/counter_19_i_o2[4]:B,
ControlDecoder_0/counter_19_i_o2[4]:Y,
ControlDecoder_0/un1_instruction46_15_0_o2_0:A,-5213
ControlDecoder_0/un1_instruction46_15_0_o2_0:B,-5304
ControlDecoder_0/un1_instruction46_15_0_o2_0:C,-5365
ControlDecoder_0/un1_instruction46_15_0_o2_0:D,-5500
ControlDecoder_0/un1_instruction46_15_0_o2_0:Y,-5500
ControlDecoder_2/instruction[4]:ADn,
ControlDecoder_2/instruction[4]:ALn,
ControlDecoder_2/instruction[4]:CLK,-5175
ControlDecoder_2/instruction[4]:D,-2138
ControlDecoder_2/instruction[4]:EN,-3008
ControlDecoder_2/instruction[4]:LAT,
ControlDecoder_2/instruction[4]:Q,-5175
ControlDecoder_2/instruction[4]:SD,
ControlDecoder_2/instruction[4]:SLn,
DACController_1/sclock_counter_cry[24]:A,
DACController_1/sclock_counter_cry[24]:B,-284
DACController_1/sclock_counter_cry[24]:C,
DACController_1/sclock_counter_cry[24]:CC,-359
DACController_1/sclock_counter_cry[24]:D,
DACController_1/sclock_counter_cry[24]:P,-284
DACController_1/sclock_counter_cry[24]:S,-359
DACController_1/sclock_counter_cry[24]:UB,
DACController_1/un3_sclockv_0_I_1_CC_0:CC[0],
DACController_1/un3_sclockv_0_I_1_CC_0:CC[1],
DACController_1/un3_sclockv_0_I_1_CC_0:CC[2],
DACController_1/un3_sclockv_0_I_1_CC_0:CC[3],
DACController_1/un3_sclockv_0_I_1_CC_0:CC[4],
DACController_1/un3_sclockv_0_I_1_CC_0:CC[5],
DACController_1/un3_sclockv_0_I_1_CC_0:CC[6],
DACController_1/un3_sclockv_0_I_1_CC_0:CC[7],-4248
DACController_1/un3_sclockv_0_I_1_CC_0:CI,
DACController_1/un3_sclockv_0_I_1_CC_0:P[0],-4054
DACController_1/un3_sclockv_0_I_1_CC_0:P[10],
DACController_1/un3_sclockv_0_I_1_CC_0:P[11],
DACController_1/un3_sclockv_0_I_1_CC_0:P[1],-4113
DACController_1/un3_sclockv_0_I_1_CC_0:P[2],-3927
DACController_1/un3_sclockv_0_I_1_CC_0:P[3],-3927
DACController_1/un3_sclockv_0_I_1_CC_0:P[4],
DACController_1/un3_sclockv_0_I_1_CC_0:P[5],
DACController_1/un3_sclockv_0_I_1_CC_0:P[6],-3535
DACController_1/un3_sclockv_0_I_1_CC_0:P[7],
DACController_1/un3_sclockv_0_I_1_CC_0:P[8],
DACController_1/un3_sclockv_0_I_1_CC_0:P[9],
DACController_1/un3_sclockv_0_I_1_CC_0:UB[0],-4248
DACController_1/un3_sclockv_0_I_1_CC_0:UB[10],
DACController_1/un3_sclockv_0_I_1_CC_0:UB[11],
DACController_1/un3_sclockv_0_I_1_CC_0:UB[1],-4137
DACController_1/un3_sclockv_0_I_1_CC_0:UB[2],-3990
DACController_1/un3_sclockv_0_I_1_CC_0:UB[3],-4087
DACController_1/un3_sclockv_0_I_1_CC_0:UB[4],-4042
DACController_1/un3_sclockv_0_I_1_CC_0:UB[5],-3934
DACController_1/un3_sclockv_0_I_1_CC_0:UB[6],-3657
DACController_1/un3_sclockv_0_I_1_CC_0:UB[7],
DACController_1/un3_sclockv_0_I_1_CC_0:UB[8],
DACController_1/un3_sclockv_0_I_1_CC_0:UB[9],
ControlDecoder_1/instruction_8[2]:A,
ControlDecoder_1/instruction_8[2]:B,
ControlDecoder_1/instruction_8[2]:C,553
ControlDecoder_1/instruction_8[2]:D,-3305
ControlDecoder_1/instruction_8[2]:Y,-3305
ccu25_data_1_iobuf[5]/U0/U_IOINFF:A,
ccu25_data_1_iobuf[5]/U0/U_IOINFF:Y,
JTAG_0/TAP_state[0]:ADn,
JTAG_0/TAP_state[0]:ALn,
JTAG_0/TAP_state[0]:CLK,-2775
JTAG_0/TAP_state[0]:D,-441
JTAG_0/TAP_state[0]:EN,
JTAG_0/TAP_state[0]:LAT,
JTAG_0/TAP_state[0]:Q,-2775
JTAG_0/TAP_state[0]:SD,
JTAG_0/TAP_state[0]:SLn,
hptdc_tms_1_obuf/U0/U_IOPAD:D,
hptdc_tms_1_obuf/U0/U_IOPAD:E,
hptdc_tms_1_obuf/U0/U_IOPAD:PAD,
ControlDecoder_1/run_number_buffer[6]:ADn,
ControlDecoder_1/run_number_buffer[6]:ALn,
ControlDecoder_1/run_number_buffer[6]:CLK,1750
ControlDecoder_1/run_number_buffer[6]:D,
ControlDecoder_1/run_number_buffer[6]:EN,-3978
ControlDecoder_1/run_number_buffer[6]:LAT,
ControlDecoder_1/run_number_buffer[6]:Q,1750
ControlDecoder_1/run_number_buffer[6]:SD,
ControlDecoder_1/run_number_buffer[6]:SLn,-849
ControlDecoder_0/send_data_to_hptdc_5_f0_0_o2_1_RNI871U3:A,-691
ControlDecoder_0/send_data_to_hptdc_5_f0_0_o2_1_RNI871U3:B,394
ControlDecoder_0/send_data_to_hptdc_5_f0_0_o2_1_RNI871U3:C,-2949
ControlDecoder_0/send_data_to_hptdc_5_f0_0_o2_1_RNI871U3:D,-2076
ControlDecoder_0/send_data_to_hptdc_5_f0_0_o2_1_RNI871U3:Y,-2949
DACController_0/sclock_counter[27]:ADn,
DACController_0/sclock_counter[27]:ALn,
DACController_0/sclock_counter[27]:CLK,493
DACController_0/sclock_counter[27]:D,-291
DACController_0/sclock_counter[27]:EN,
DACController_0/sclock_counter[27]:LAT,
DACController_0/sclock_counter[27]:Q,493
DACController_0/sclock_counter[27]:SD,
DACController_0/sclock_counter[27]:SLn,-1974
ControlDecoder_1/run_number_buffer[7]:ADn,
ControlDecoder_1/run_number_buffer[7]:ALn,
ControlDecoder_1/run_number_buffer[7]:CLK,1750
ControlDecoder_1/run_number_buffer[7]:D,1742
ControlDecoder_1/run_number_buffer[7]:EN,-3978
ControlDecoder_1/run_number_buffer[7]:LAT,
ControlDecoder_1/run_number_buffer[7]:Q,1750
ControlDecoder_1/run_number_buffer[7]:SD,
ControlDecoder_1/run_number_buffer[7]:SLn,-849
ControlDecoder_3/counter[0]:ADn,
ControlDecoder_3/counter[0]:ALn,
ControlDecoder_3/counter[0]:CLK,-6754
ControlDecoder_3/counter[0]:D,-6624
ControlDecoder_3/counter[0]:EN,
ControlDecoder_3/counter[0]:LAT,
ControlDecoder_3/counter[0]:Q,-6754
ControlDecoder_3/counter[0]:SD,
ControlDecoder_3/counter[0]:SLn,
ControlDecoder_0/instruction_8_i_o2_0_RNIV1IA1[0]:A,-1664
ControlDecoder_0/instruction_8_i_o2_0_RNIV1IA1[0]:B,-1736
ControlDecoder_0/instruction_8_i_o2_0_RNIV1IA1[0]:C,-2938
ControlDecoder_0/instruction_8_i_o2_0_RNIV1IA1[0]:D,-3397
ControlDecoder_0/instruction_8_i_o2_0_RNIV1IA1[0]:Y,-3397
ControlDecoder_2/instruction_RNO[2]:A,
ControlDecoder_2/instruction_RNO[2]:B,
ControlDecoder_2/instruction_RNO[2]:C,553
ControlDecoder_2/instruction_RNO[2]:D,-3252
ControlDecoder_2/instruction_RNO[2]:Y,-3252
DACController_1/index[3]:ADn,
DACController_1/index[3]:ALn,
DACController_1/index[3]:CLK,-1819
DACController_1/index[3]:D,-505
DACController_1/index[3]:EN,-5688
DACController_1/index[3]:LAT,
DACController_1/index[3]:Q,-1819
DACController_1/index[3]:SD,
DACController_1/index[3]:SLn,
ControlDecoder_0/instruction_RNIP17T4[2]:A,-1842
ControlDecoder_0/instruction_RNIP17T4[2]:B,
ControlDecoder_0/instruction_RNIP17T4[2]:C,-4019
ControlDecoder_0/instruction_RNIP17T4[2]:D,-3078
ControlDecoder_0/instruction_RNIP17T4[2]:Y,-4019
DACController_1/sclock_counter_cry[27]:A,
DACController_1/sclock_counter_cry[27]:B,493
DACController_1/sclock_counter_cry[27]:C,
DACController_1/sclock_counter_cry[27]:CC,-291
DACController_1/sclock_counter_cry[27]:D,
DACController_1/sclock_counter_cry[27]:P,
DACController_1/sclock_counter_cry[27]:S,-291
DACController_1/sclock_counter_cry[27]:UB,
JTAG_0/jtag_bus_in_use_s:A,687
JTAG_0/jtag_bus_in_use_s:B,623
JTAG_0/jtag_bus_in_use_s:C,543
JTAG_0/jtag_bus_in_use_s:D,433
JTAG_0/jtag_bus_in_use_s:Y,433
JTAG_0/jtag_bus_in_use:ADn,
JTAG_0/jtag_bus_in_use:ALn,
JTAG_0/jtag_bus_in_use:CLK,-3397
JTAG_0/jtag_bus_in_use:D,433
JTAG_0/jtag_bus_in_use:EN,
JTAG_0/jtag_bus_in_use:LAT,
JTAG_0/jtag_bus_in_use:Q,-3397
JTAG_0/jtag_bus_in_use:SD,
JTAG_0/jtag_bus_in_use:SLn,
DACController_1/temp_7_cry_4:A,
